,claim,topic,date_published,page_is_example,page_is_image_credit,page_is_archived,claim_label
19,"Prolonged sexual arousal in men without an ejaculation can cause pain, a condition colloquially referred to as ""blue balls"".",love,"Mar 15th, 2017",False,True,False,true
20,A restaurant in South Africa was shut down for serving human meat.,fake news,"Mar 15th, 2017",False,False,True,false
21,A restaurant in South Africa was shut down for serving human meat.,fake news,"Mar 15th, 2017",False,False,False,false
22,A restaurant in South Africa was shut down for serving human meat.,fake news,"Mar 15th, 2017",False,True,False,false
23,The Supreme Court ordered the Smithsonian Institution to disclose that it destroyed several giant skeletons in the early 1900s to preserve the mainstream narrative of evolution.  See Example(s),media matters,"Dec 17th, 2014",False,False,False,false
24,"After releasing a music video in which he fires a prank ""Bang!"" flag gun at a clown resembling Donald Trump, rapper Snoop Dogg was arrested for conspiracy by the Secret Service for suggesting that ""someone should do what I did with a real gun.""",fake news,"Mar 15th, 2017",False,False,False,false
25,"After releasing a music video in which he fires a prank ""Bang!"" flag gun at a clown resembling Donald Trump, rapper Snoop Dogg was arrested for conspiracy by the Secret Service for suggesting that ""someone should do what I did with a real gun.""",fake news,"Mar 15th, 2017",False,True,False,false
26,Ohio's Cedar Point amusement park  announced they would not be open for the 2017 season.,fake news,"Mar 15th, 2017",False,False,False,false
27,Ohio's Cedar Point amusement park  announced they would not be open for the 2017 season.,fake news,"Mar 15th, 2017",False,True,False,false
28,Each of the Confederate battle flag's colors symbollizes a religious concept.            See Example(s),history,"Mar 15th, 2017",False,False,False,false
29,Each of the Confederate battle flag's colors symbollizes a religious concept.            See Example(s),history,"Mar 15th, 2017",False,True,False,false
30,The FitnessGram Pacer Test was banned from schools after it was deemed too cruel for children.,fake news,"Mar 14th, 2017",False,False,True,false
31,The FitnessGram Pacer Test was banned from schools after it was deemed too cruel for children.,fake news,"Mar 14th, 2017",False,False,False,false
32,The FitnessGram Pacer Test was banned from schools after it was deemed too cruel for children.,fake news,"Mar 14th, 2017",False,True,False,false
33,"Mark Zuckerberg said that he was ""disgusted with social media"" and that he was leaving Facebook as a result.",fake news,"Mar 14th, 2017",False,False,True,false
34,"Mark Zuckerberg said that he was ""disgusted with social media"" and that he was leaving Facebook as a result.",fake news,"Mar 14th, 2017",False,False,False,false
35,"Mark Zuckerberg said that he was ""disgusted with social media"" and that he was leaving Facebook as a result.",fake news,"Mar 14th, 2017",False,True,False,false
36,Mike Pence and 23 staff members were killed in a plane crash.,fake news,"Mar 14th, 2017",False,False,True,false
37,Mike Pence and 23 staff members were killed in a plane crash.,fake news,"Mar 14th, 2017",False,False,False,false
38,Mike Pence and 23 staff members were killed in a plane crash.,fake news,"Mar 14th, 2017",False,True,False,false
39,"The president of Knox Machinery wrote a letter to the president of General Motors, criticizing the latter for seeking a government bailout.  See Example(s)",political news,"Dec 16th, 2008",False,False,False,true
40,A photograph shows a man who was mugged while delivering comic books to his sick daughter.,fauxtography,"Mar 14th, 2017",False,False,True,false
41,A photograph shows a man who was mugged while delivering comic books to his sick daughter.,fauxtography,"Mar 14th, 2017",False,False,False,false
42,A study discovered men's beards are alarmingly riddled with fecal microbes.            See Example(s),viral phenomena,"May 5th, 2015",True,False,False,false
43,A study discovered men's beards are alarmingly riddled with fecal microbes.            See Example(s),viral phenomena,"May 5th, 2015",False,False,False,false
44,A study discovered men's beards are alarmingly riddled with fecal microbes.            See Example(s),viral phenomena,"May 5th, 2015",False,True,False,false
45,Netflix is shutting down in June 2017 because too many people share their accounts with their friends.,fake news,"Mar 14th, 2017",False,False,True,false
46,Netflix is shutting down in June 2017 because too many people share their accounts with their friends.,fake news,"Mar 14th, 2017",False,True,False,false
47,It is illegal to take photographs of the Eiffel Tower at night without explicit permission.,,"Mar 13th, 2017",False,False,False,true
48,John McCain admitted that he was a 'war criminal' and was pardoned by President Nixon for his crimes.            See Example(s),political news,"Aug 5th, 2008",False,False,True,false
49,John McCain admitted that he was a 'war criminal' and was pardoned by President Nixon for his crimes.            See Example(s),political news,"Aug 5th, 2008",False,False,False,false
50,John McCain admitted that he was a 'war criminal' and was pardoned by President Nixon for his crimes.            See Example(s),political news,"Aug 5th, 2008",False,True,False,false
51,Pope Francis announced during a sermon that God had instructed him to revise the ten commandments.,fake news,"Jul 7th, 2015",False,False,True,false
52,Turkey legs sold in Disney's theme are actually emu legs.,disney,"Mar 13th, 2017",False,False,False,false
53,President Donald Trump cut funding for the veteran suicide hotline.,fake news,"Mar 13th, 2017",False,False,False,false
54,President Donald Trump cut funding for the veteran suicide hotline.,fake news,"Mar 13th, 2017",False,True,False,false
55,"Ezekiel Wilekenmeyer Williams, the biological father of Malia and Sasha Obama, has filed a lawsuit against Barack and Michelle Obama.",fake news,"Mar 13th, 2017",False,False,True,false
56,"Ezekiel Wilekenmeyer Williams, the biological father of Malia and Sasha Obama, has filed a lawsuit against Barack and Michelle Obama.",fake news,"Mar 13th, 2017",False,True,False,false
57,Kissing bugs in the U.S. have been found to carry a disease-causing parasite.            See Example(s),critter country,"Nov 11th, 2014",True,False,False,true
58,Kissing bugs in the U.S. have been found to carry a disease-causing parasite.            See Example(s),critter country,"Nov 11th, 2014",False,False,False,true
59,Kissing bugs in the U.S. have been found to carry a disease-causing parasite.            See Example(s),critter country,"Nov 11th, 2014",False,True,False,true
60,Mississippi State Representative Jeff Guice said that 'sick children should die if their parents can’t afford medical supplies.',fake news,"Mar 13th, 2017",False,False,True,false
61,Mississippi State Representative Jeff Guice said that 'sick children should die if their parents can’t afford medical supplies.',fake news,"Mar 13th, 2017",False,False,False,false
62,"In March 2017, actor William H. Macy died of a heart attack at the age of 66.            See Example(s)",,"Mar 13th, 2017",True,False,False,false
63,"In March 2017, actor William H. Macy died of a heart attack at the age of 66.            See Example(s)",,"Mar 13th, 2017",False,False,True,false
64,"In March 2017, actor William H. Macy died of a heart attack at the age of 66.            See Example(s)",,"Mar 13th, 2017",False,True,False,false
65,"A soldier returning from deployment discovered his wife had died during his absence, and their children had starved to death.  See Example(s)",horrors,"Oct 1st, 2010",False,True,False,true
66,Rep. Nancy Pelosi was arrested by the Secret Service for plotting a coup to overthrow the president.,fake news,"Mar 11th, 2017",False,False,False,false
67,Rep. Nancy Pelosi was arrested by the Secret Service for plotting a coup to overthrow the president.,fake news,"Mar 11th, 2017",False,True,False,false
68,"An aide handed Sean Spicer a note that read “You just committed a felony"" in the middle of a press briefing.",fake news,"Mar 11th, 2017",False,False,True,false
69,"An aide handed Sean Spicer a note that read “You just committed a felony"" in the middle of a press briefing.",fake news,"Mar 11th, 2017",False,True,False,false
70,Bill Gates has openly admitted that vaccinations are designed so that governments can depopulate the world.,medical,"Mar 10th, 2017",False,False,True,false
71,Bill Gates has openly admitted that vaccinations are designed so that governments can depopulate the world.,medical,"Mar 10th, 2017",False,False,False,false
72,Bill Gates has openly admitted that vaccinations are designed so that governments can depopulate the world.,medical,"Mar 10th, 2017",False,True,False,false
73,Ben Carson spoke of a 'nut of the mind' where hated memories are stored.,fake news,"Mar 10th, 2017",False,False,False,false
74,Ben Carson spoke of a 'nut of the mind' where hated memories are stored.,fake news,"Mar 10th, 2017",False,True,False,false
75,Police found more than 30 cow eyeballs in a man's rectum after arresting him for drunk driving.,fauxtography,"Jul 24th, 2015",False,False,False,false
76,"President Obama was evicted from a Washington, D.C., mansion for damaging the building.",fake news,"Mar 10th, 2017",False,False,True,false
77,"President Obama was evicted from a Washington, D.C., mansion for damaging the building.",fake news,"Mar 10th, 2017",False,True,False,false
78,Former Fox News host Megyn Kelly was fired from NBC before even starting on air there.,,"Mar 9th, 2017",False,False,False,false
79,Former Fox News host Megyn Kelly was fired from NBC before even starting on air there.,,"Mar 9th, 2017",False,True,False,false
80,"Longtime Fox News anchor Shepard Smith has been fired for being ""too controversial.""            See Example(s)",fake news,"Mar 9th, 2017",False,False,False,false
81,"Under the LARK program, Gitmo detainees are being housed with liberals who disagree with the U.S. government's treatment of those prisoners.            See Example(s)",political news,"Feb 15th, 2005",False,False,False,false
82,"Under the LARK program, Gitmo detainees are being housed with liberals who disagree with the U.S. government's treatment of those prisoners.            See Example(s)",political news,"Feb 15th, 2005",False,True,False,false
83,"The New York Times contradicted their 20 January 2017 report about wire tapping in an article entitled ""Trump, Offering No Evidence, Says Obama Tapped His Phones.""",politics,"Mar 8th, 2017",False,False,True,false
84,"The New York Times contradicted their 20 January 2017 report about wire tapping in an article entitled ""Trump, Offering No Evidence, Says Obama Tapped His Phones.""",politics,"Mar 8th, 2017",False,False,False,false
85,"The New York Times contradicted their 20 January 2017 report about wire tapping in an article entitled ""Trump, Offering No Evidence, Says Obama Tapped His Phones.""",politics,"Mar 8th, 2017",False,True,False,false
86,Left-handed people die younger than right-handed people.,medical,"Mar 8th, 2017",False,False,False,false
87,Left-handed people die younger than right-handed people.,medical,"Mar 8th, 2017",False,True,False,false
88,"Newly installed U.S. Secretary of Education Betsy DeVos stipulated that ""all history books will contain only the information that can also be found in the Christian Bible.""",fake news,"Mar 8th, 2017",False,False,False,false
89,"Newly installed U.S. Secretary of Education Betsy DeVos stipulated that ""all history books will contain only the information that can also be found in the Christian Bible.""",fake news,"Mar 8th, 2017",False,True,False,false
90,House speaker Paul Ryan asserted that women who use birth control are committing murder.,fake news,"Mar 8th, 2017",False,False,True,false
91,House speaker Paul Ryan asserted that women who use birth control are committing murder.,fake news,"Mar 8th, 2017",False,False,False,false
92,House speaker Paul Ryan asserted that women who use birth control are committing murder.,fake news,"Mar 8th, 2017",False,True,False,false
93,"A photograph shows Barack Obama sitting with Malcolm X and Martin Luther King, Jr.",fauxtography,"Mar 7th, 2017",False,False,False,false
94,"A photograph shows Barack Obama sitting with Malcolm X and Martin Luther King, Jr.",fauxtography,"Mar 7th, 2017",False,False,True,false
95,Reggae musician Buju Banton killed himself in prison.,fake news,"Mar 7th, 2017",False,False,True,false
96,Reggae musician Buju Banton killed himself in prison.,fake news,"Mar 7th, 2017",False,False,False,false
97,Reggae musician Buju Banton killed himself in prison.,fake news,"Mar 7th, 2017",False,True,False,false
98,Over-the-counter painkiller paracetamol is contaminated with the Machupo virus and should be avoided.            See Example(s),medical,"Mar 7th, 2017",True,False,False,false
99,Over-the-counter painkiller paracetamol is contaminated with the Machupo virus and should be avoided.            See Example(s),medical,"Mar 7th, 2017",False,False,False,false
100,The FBI has issued an arrest warrant for Barack Obama over charges of illegal wiretapping.,fake news,"Mar 6th, 2017",False,False,True,false
101,The FBI has issued an arrest warrant for Barack Obama over charges of illegal wiretapping.,fake news,"Mar 6th, 2017",False,False,False,false
102,A Japanese man was found dead months after being crushed by huge pile of pornography.,,"Mar 6th, 2017",False,False,False,false
103,A Japanese man was found dead months after being crushed by huge pile of pornography.,,"Mar 6th, 2017",False,True,False,false
104,President Trump tweeted that Native Americans should be deported back to India.,fake news,"Mar 6th, 2017",False,False,True,false
105,President Trump tweeted that Native Americans should be deported back to India.,fake news,"Mar 6th, 2017",False,False,False,false
106,President Trump tweeted that Native Americans should be deported back to India.,fake news,"Mar 6th, 2017",False,True,False,false
107,"Under certain conditions, lionesses can grow manes and develop ""masculine behavior"".",science,"Mar 6th, 2017",False,False,False,true
108,"Under certain conditions, lionesses can grow manes and develop ""masculine behavior"".",science,"Mar 6th, 2017",False,True,False,true
109,Ruth Bader Ginsburg has resigned her U.S. Supreme Court seat and moved to New Zealand.,fake news,"Mar 6th, 2017",False,False,False,false
110,Ruth Bader Ginsburg has resigned her U.S. Supreme Court seat and moved to New Zealand.,fake news,"Mar 6th, 2017",False,False,True,false
111,Ruth Bader Ginsburg has resigned her U.S. Supreme Court seat and moved to New Zealand.,fake news,"Mar 6th, 2017",False,True,False,false
112,President Trump’s grandfather Friedrich unsuccessfully petitioned the government of Bavaria (now southeast Germany) not to deport him and his family.,history,"Mar 6th, 2017",False,False,False,true
113,President Trump’s grandfather Friedrich unsuccessfully petitioned the government of Bavaria (now southeast Germany) not to deport him and his family.,history,"Mar 6th, 2017",False,True,False,true
114,A Florida drug trafficker pardoned by President Obama was re-arrested three months later for the murder of his girlfriend.,fake news,"Mar 6th, 2017",False,False,False,false
115,A Florida drug trafficker pardoned by President Obama was re-arrested three months later for the murder of his girlfriend.,fake news,"Mar 6th, 2017",False,False,True,false
116,A 'Harry Potter Dementor' figure was photographed above a shopping center in Zambia.,fauxtography,"Mar 6th, 2017",False,False,True,false
117,A 'Harry Potter Dementor' figure was photographed above a shopping center in Zambia.,fauxtography,"Mar 6th, 2017",False,False,False,false
118,"Photographs depict signs marking the sites of ""future internment camps"" authorized by President Trump's executive order.  See Example(s)",fauxtography,"Mar 6th, 2017",False,False,False,false
119,"Photographs depict signs marking the sites of ""future internment camps"" authorized by President Trump's executive order.  See Example(s)",fauxtography,"Mar 6th, 2017",False,True,False,false
120,NBC's long-running 'Saturday Night Live' has been cancelled due to low ratings.,fake news,"Mar 6th, 2017",False,False,True,false
121,NBC's long-running 'Saturday Night Live' has been cancelled due to low ratings.,fake news,"Mar 6th, 2017",False,False,False,false
122,NBC's long-running 'Saturday Night Live' has been cancelled due to low ratings.,fake news,"Mar 6th, 2017",False,True,False,false
123,"Albert Einstein said ""I fear the day that technology will surpass our human interaction. The world will have a generation of idiots.""",questionable quotes,"Mar 6th, 2017",False,False,False,false
124,Texting the word 'HUNGER' to 35350 will cause Sam's Club to donate the monetary equivalent of 12 meals to a local food bank.  See Example(s),business,"Mar 10th, 2015",False,False,False,true
125,The spiral stairway at Santa Fe's Loretto Chapel miraculously stands despite having no discernable means of support.            See Example(s),horrors,"May 3rd, 2007",False,False,False,false
126,The spiral stairway at Santa Fe's Loretto Chapel miraculously stands despite having no discernable means of support.            See Example(s),horrors,"May 3rd, 2007",False,False,True,false
127,Comedian Tommy Chong of 'Cheech and Chong' fame passed away in February 2017.,fake news,"Dec 20th, 2015",False,False,True,false
128,Comedian Tommy Chong of 'Cheech and Chong' fame passed away in February 2017.,fake news,"Dec 20th, 2015",False,False,False,false
129,Comedian Tommy Chong of 'Cheech and Chong' fame passed away in February 2017.,fake news,"Dec 20th, 2015",False,True,False,false
130,The cast of M*A*S*H did not learn of Col. Blake's death until they were actually filming the scene in which it was announced.            See Example(s),entertainment,"Mar 21st, 2009",False,False,False,false
131,Ivana Trump claimed her famous ex-husband Donald is addicted to penile enhancement pills.,fake news,"Mar 3rd, 2017",False,False,True,false
132,Female praying mantises always eat the heads of their mates after copulating.  See Example(s),critter country,"Oct 31st, 1999",False,False,False,false
133,Female praying mantises always eat the heads of their mates after copulating.  See Example(s),critter country,"Oct 31st, 1999",False,True,False,false
134,Vice President Mike Pence is creating a 'Department of Anti-Witchcraft' to safeguard religious liberty.,fake news,"Mar 3rd, 2017",False,False,False,false
135,Vice President Mike Pence is creating a 'Department of Anti-Witchcraft' to safeguard religious liberty.,fake news,"Mar 3rd, 2017",False,True,False,false
136,"In March 2017, President Trump signed an executive order allocating payments of more than $4,000 to everyone over 65.",fake news,"Mar 3rd, 2017",False,False,True,false
137,"In March 2017, President Trump signed an executive order allocating payments of more than $4,000 to everyone over 65.",fake news,"Mar 3rd, 2017",False,True,False,false
138,A napping morgue worker in Texas was accidentally cremated by a coworker.            See Example(s),fake news,"Mar 3rd, 2017",True,False,False,false
139,A napping morgue worker in Texas was accidentally cremated by a coworker.            See Example(s),fake news,"Mar 3rd, 2017",False,False,True,false
140,A napping morgue worker in Texas was accidentally cremated by a coworker.            See Example(s),fake news,"Mar 3rd, 2017",False,False,False,false
141,Comedian Amy Schumer was arrested at the 2017 Academy Awards for threatening during the live television broadcast to harm President Trump.            See Example(s),fake news,"Mar 3rd, 2017",True,False,False,false
142,Comedian Amy Schumer was arrested at the 2017 Academy Awards for threatening during the live television broadcast to harm President Trump.            See Example(s),fake news,"Mar 3rd, 2017",False,False,True,false
143,Comedian Amy Schumer was arrested at the 2017 Academy Awards for threatening during the live television broadcast to harm President Trump.            See Example(s),fake news,"Mar 3rd, 2017",False,True,False,false
144,Photographs show a truck that crashed through a highway barrier and skirted a culvert on the edge of a cliff.            See Example(s),fauxtography,"Feb 12th, 2007",True,False,False,true
145,Photographs show a truck that crashed through a highway barrier and skirted a culvert on the edge of a cliff.            See Example(s),fauxtography,"Feb 12th, 2007",False,False,False,true
146,Barack and Michelle Obama have filed for divorce in Illinois.,fake news,"Mar 2nd, 2017",False,False,True,false
147,Barack and Michelle Obama have filed for divorce in Illinois.,fake news,"Mar 2nd, 2017",False,False,False,false
148,Barack and Michelle Obama have filed for divorce in Illinois.,fake news,"Mar 2nd, 2017",False,True,False,false
149,Saudi scientists announced that theyhad determined women were mammals but not humans.,fake news,"Mar 2nd, 2017",False,False,False,false
150,Media giant Time Warner declined to renew CNN's contract.,fake news,"Mar 2nd, 2017",False,False,True,false
151,Media giant Time Warner declined to renew CNN's contract.,fake news,"Mar 2nd, 2017",False,False,False,false
152,Media giant Time Warner declined to renew CNN's contract.,fake news,"Mar 2nd, 2017",False,True,False,false
153,"Whoopi Goldberg said that ""military widows love their 15 minutes in the spotlight.""",fake news,"Mar 2nd, 2017",False,False,True,false
154,"Whoopi Goldberg said that ""military widows love their 15 minutes in the spotlight.""",fake news,"Mar 2nd, 2017",False,False,False,false
155,Two intelligence agencies suspect that President Donald Trump's cell phone is the source of recently leaked information.,fake news,"Mar 2nd, 2017",False,False,False,false
156,Two intelligence agencies suspect that President Donald Trump's cell phone is the source of recently leaked information.,fake news,"Mar 2nd, 2017",False,True,False,false
157,Target's stock crashed because of its transgender bathroom policy.,,"Mar 1st, 2017",False,False,True,false
158,Target's stock crashed because of its transgender bathroom policy.,,"Mar 1st, 2017",False,False,False,false
159,Target's stock crashed because of its transgender bathroom policy.,,"Mar 1st, 2017",False,True,False,false
160,There is a demonstrable link between marijuana legalization and an increase in violent crime.,politics,"Mar 1st, 2017",False,False,False,false
161,There is a demonstrable link between marijuana legalization and an increase in violent crime.,politics,"Mar 1st, 2017",False,True,False,false
162,Several brands of baby wipes available in the U.S. were recalled in 2017 because they pose a risk of serious infection.            See Example(s),medical,"Mar 1st, 2017",False,False,True,false
163,Several brands of baby wipes available in the U.S. were recalled in 2017 because they pose a risk of serious infection.            See Example(s),medical,"Mar 1st, 2017",False,False,False,false
164,Several brands of baby wipes available in the U.S. were recalled in 2017 because they pose a risk of serious infection.            See Example(s),medical,"Mar 1st, 2017",False,True,False,false
165,"President Trump's sons were detained at a Canadian airport due to their alleged ties to a ""fascist dictator.""            See Example(s)",fake news,"Mar 1st, 2017",False,False,False,false
166,"President Trump's sons were detained at a Canadian airport due to their alleged ties to a ""fascist dictator.""            See Example(s)",fake news,"Mar 1st, 2017",False,False,True,false
167,"President Trump's sons were detained at a Canadian airport due to their alleged ties to a ""fascist dictator.""            See Example(s)",fake news,"Mar 1st, 2017",False,True,False,false
168,A 7-year-old girl was flown to China to receive breast implants for her birthday.,fake news,"Mar 1st, 2017",False,False,False,false
169,"Democrats Bernie Sanders, Keith Ellison, Debbie Wasserman Schultz, and Nancy Pelosi refused to stand and clap for Navy SEAL widow Carryn Owens during a presidential speech.",politics,"Mar 1st, 2017",False,False,False,false
170,"Democrats Bernie Sanders, Keith Ellison, Debbie Wasserman Schultz, and Nancy Pelosi refused to stand and clap for Navy SEAL widow Carryn Owens during a presidential speech.",politics,"Mar 1st, 2017",False,False,True,false
171,President Trump has signed a bill lowering the age of sexual consent to 13.            See Example(s),fake news,"Nov 24th, 2015",True,False,False,false
172,President Trump has signed a bill lowering the age of sexual consent to 13.            See Example(s),fake news,"Nov 24th, 2015",False,False,True,false
173,President Trump has signed a bill lowering the age of sexual consent to 13.            See Example(s),fake news,"Nov 24th, 2015",False,True,False,false
174,"Due to a shortage of men, Iceland will pay $5,000 per month to immigrants who marry Icelandic women.",fake news,"Sep 15th, 2016",False,False,False,false
175,"Due to a shortage of men, Iceland will pay $5,000 per month to immigrants who marry Icelandic women.",fake news,"Sep 15th, 2016",False,True,False,false
176,"Trump strategist Stephen Bannon defended spousal abuse with the statement, ""Nobody can blame you for beating your wife if it's out of love.""            See Example(s)",fake news,"Aug 27th, 2016",False,False,False,false
177,"Sweden was ""rocked"" by a massive terrorist attack in February 2017.",,"Feb 28th, 2017",False,False,False,false
178,"Sweden was ""rocked"" by a massive terrorist attack in February 2017.",,"Feb 28th, 2017",False,True,False,false
179,Children who watch at least 30 minutes of “Peppa Pig” per day have a 56 percent higher probability of developing autism.,,"Oct 21st, 2016",False,False,False,false
180,NRA president Jim Porter declared that 'it's only a matter of time before we can own colored people again.',,"May 7th, 2013",False,False,False,false
181,NRA president Jim Porter declared that 'it's only a matter of time before we can own colored people again.',,"May 7th, 2013",False,True,False,false
182,Chick-fil-A president Dan Cathy announced that the chain would oppose blacks as a marketing ploy.            See Example(s),politics,"Nov 9th, 2013",True,False,False,false
183,Chick-fil-A president Dan Cathy announced that the chain would oppose blacks as a marketing ploy.            See Example(s),politics,"Nov 9th, 2013",False,False,False,false
184,Chick-fil-A president Dan Cathy announced that the chain would oppose blacks as a marketing ploy.            See Example(s),politics,"Nov 9th, 2013",False,True,False,false
185,"Seth Rogen, Bette Midler, and other Hollywood ""liberal heroes"" were arrested during an Oscar party drug raid.",fake news,"Feb 27th, 2017",False,False,True,false
186,"Seth Rogen, Bette Midler, and other Hollywood ""liberal heroes"" were arrested during an Oscar party drug raid.",fake news,"Feb 27th, 2017",False,False,False,false
187,"A new ""finger chop"" challenge is spreading on social media in protest of President Trump.            See Example(s)",fake news,"Feb 27th, 2017",False,False,True,false
188,"A new ""finger chop"" challenge is spreading on social media in protest of President Trump.            See Example(s)",fake news,"Feb 27th, 2017",False,True,False,false
189,George Soros was arrested and charged with hate crimes against America.,fake news,"Feb 26th, 2017",False,False,True,false
190,George Soros was arrested and charged with hate crimes against America.,fake news,"Feb 26th, 2017",False,True,False,false
191,A man died in a meth lab explosion after attempting to light his own flatulence.            See Example(s),fake news,"Feb 16th, 2016",False,False,False,false
192,A man died in a meth lab explosion after attempting to light his own flatulence.            See Example(s),fake news,"Feb 16th, 2016",False,True,False,false
193,A study performed at the Los Alamos National Laboratory found that millimeter wave body scanners commonly used by airport security can alter your DNA.,science,"Feb 24th, 2017",False,False,True,false
194,A study performed at the Los Alamos National Laboratory found that millimeter wave body scanners commonly used by airport security can alter your DNA.,science,"Feb 24th, 2017",False,False,False,false
195,A study performed at the Los Alamos National Laboratory found that millimeter wave body scanners commonly used by airport security can alter your DNA.,science,"Feb 24th, 2017",False,True,False,false
196,"Two Democratic Party congressmen were arrested for ""plotting to murder the president.""",fake news,"Feb 24th, 2017",False,False,False,false
197,"Two Democratic Party congressmen were arrested for ""plotting to murder the president.""",fake news,"Feb 24th, 2017",False,True,False,false
198,"A teenager known as the ""Catch Me Outside Girl"" due to an appearance on the 'Dr Phil Show' was arrested for prostitution.",fake news,"Feb 24th, 2017",False,False,True,false
199,An audio recording features CNN anchor Jake Tapper using racial slurs.,politics,"Feb 23rd, 2017",False,False,True,false
200,An audio recording features CNN anchor Jake Tapper using racial slurs.,politics,"Feb 23rd, 2017",False,False,False,false
201,"Actor Bill Murray said in order to teach children about taxes, eat their ice cream.            See Example(s)",,"Feb 23rd, 2017",False,False,False,false
202,"Actor Bill Murray said in order to teach children about taxes, eat their ice cream.            See Example(s)",,"Feb 23rd, 2017",False,False,True,false
203,"Actor Bill Murray said in order to teach children about taxes, eat their ice cream.            See Example(s)",,"Feb 23rd, 2017",False,True,False,false
204,Actor Andrew Lincoln died in a car crash in February 2017.,fake news,"Feb 23rd, 2017",False,False,True,false
205,Actor Andrew Lincoln died in a car crash in February 2017.,fake news,"Feb 23rd, 2017",False,False,False,false
206,Actor Andrew Lincoln died in a car crash in February 2017.,fake news,"Feb 23rd, 2017",False,True,False,false
207,Tucker Carlson hired an actor to play a protest organizer on his Fox News program.,,"Feb 22nd, 2017",False,False,False,false
208,Tucker Carlson hired an actor to play a protest organizer on his Fox News program.,,"Feb 22nd, 2017",False,True,False,false
209,President Donald Trump signed an executive order that bars undocumented people from receiving welfare.,fake news,"Feb 22nd, 2017",False,False,True,false
210,President Donald Trump signed an executive order that bars undocumented people from receiving welfare.,fake news,"Feb 22nd, 2017",False,False,False,false
211,President Donald Trump signed an executive order that bars undocumented people from receiving welfare.,fake news,"Feb 22nd, 2017",False,True,False,false
212,A new tactic used by abductors and carjackers is to leave a shirt on a windshield to lure women out of their cars.,crime,"Feb 22nd, 2017",False,False,False,false
213,A new tactic used by abductors and carjackers is to leave a shirt on a windshield to lure women out of their cars.,crime,"Feb 22nd, 2017",False,False,True,false
214,"A photograph clearly shows White House advisor Stephen Miller using a hand gesture that means ""white power.""",fauxtography,"Feb 22nd, 2017",False,False,False,false
215,"A photograph clearly shows White House advisor Stephen Miller using a hand gesture that means ""white power.""",fauxtography,"Feb 22nd, 2017",False,True,False,false
216,A photograph show Ivanka Trump with Vladimir Putin and Wendi Murdoch.,fauxtography,"Feb 22nd, 2017",False,False,False,false
217,President Trump has signed visa-free travel policies for residents of a number of different countries.,fake news,"Feb 22nd, 2017",False,False,False,false
218,President Trump has signed visa-free travel policies for residents of a number of different countries.,fake news,"Feb 22nd, 2017",False,True,False,false
219,"President Trump signed an executive order cutting off welfare to ""deadbeats, drug addicts and scam artists.""",fake news,"Feb 21st, 2017",False,False,True,false
